,cr_id,cr_name,player_role,decks_used_today,decks_used,boat_attacks,fame,discord_name,discord_id,match_ratio
0,#9VRRJCP2,Oscarisback,Elder,4,24,0,2300,Oscarisback,294396357165449218,1.0
1,#Y0RPC0PRQ,matys,Elder,4,24,0,2100,matys,726773777152606249,1.0
2,#99GYQYU8,sebous,Elder,4,24,0,1750,sebous,1025801098453336154,1.0
3,#8JCYQ09P9,Nolaenny,Member,4,24,0,1550,Yoann,293261324622888961,0.5
4,#UURCCRUY,Arniol,Co-leader,4,21,0,1400,Arniol,645593467673903105,1.0
5,#YRC8V09V,immortales,Elder,4,20,0,2050,immortales,374961659212726273,1.0
6,#2CYCCJL,tiseb,Member,4,20,0,1700,tiseb,984590405347729448,1.0
7,#LGYL8VR9P,L’impérial,Member,4,20,0,1600,Imperial,1073975452412153936,0.6
8,#LLLGYP82,<c7>BiGBauD,Leader,4,18,0,2100,Bigbaud,468367804370780170,0.364
9,#982V9PQ8R,Néra,Member,4,16,0,2300,Nera,717011600200040559,0.75
10,#PY89RRGU,diablitosyl,Elder,4,15,0,2500,diablitosyl,900460292880867448,1.0
11,#8GVGQP2P,CrepAuNutella,Elder,4,15,0,2450,CrepAuNutella,907996017335603240,1.0
12,#828UQPP99,Bobox,Elder,4,14,0,1800,Bobox,507861249330249749,1.0
13,#YLLVYYRU,TxLast,Elder,4,13,0,2200,TxLast,150673899963678720,1.0
14,#8R098JGC,L’an_Tidote,Elder,4,13,0,1850,antidote,952547603873140776,0.636
15,#C28RCCGJY,rom123soleil,Member,4,12,0,2400,immortales,374961659212726273,0.25
16,#YQ9RPQ0JV,JEVAISPERDRE,Member,4,12,0,2300,SWED,332854567312162828,0.25
17,#20QGURVP0,nicolus+,Elder,4,12,0,2300,Nicolus,816692416676364288,0.75
18,#G909YC8Q,Junior26,Elder,4,12,0,2200,Junior26,704854641732485130,1.0
19,#8UL29C88,MRG,Elder,4,12,0,2150,MRG,704257545862250516,1.0
20,#90QVYRLUQ,TepseurFou,Elder,4,12,0,2100,tepseurfou,696103355004485724,0.8
21,#GC9JLY9VQ,⚪Ⓜ️ALLEZ L’OM⚪Ⓜ,Co-leader,4,12,0,2050,ALLEZ L'OM,838080157578166302,0.6
22,#GL0C9U,HM,Member,4,12,0,2050,HM,761622207502745601,1.0
23,#9J8UR089,Thomas,Member,4,12,0,2050,Tominus,695707388816130098,0.429
24,#90P2Y0Q8,NOUNOUR,Elder,4,12,0,1850,OrNitoRink,648191357759913985,0.2
25,#JG0G220,ultra623,Elder,4,12,0,1750,ultra623,1108144903042646127,1.0
26,#8J0YU0V29,LeBarb'Art,Member,4,12,0,1700,lebarb'art,268422371503767552,0.7
27,#9YVPG9JC,News,Elder,4,12,0,1500,News,823533430171893770,1.0
28,#PGQUL0UQ9,ElToNiNio,Elder,2,22,0,2000,El ToNiNio,434441534180425729,0.9
29,#82L98JP0V,Alrifo,Member,0,16,0,1250,Alrifo,1137836347609055383,1.0
30,#CPRCU88RQ,Sharkz,Member,0,12,0,1500,๖̶ζ͜͡Sharkz,811216041832742922,0.545
31,#VLJV828,épona59,Elder,0,10,0,1350,epona59,380858136908791818,0.857
32,#YRQQQL28,Amnésia_Aze,Elder,0,8,0,1400,Amnesia_Aze,639860720338599948,0.909
33,#YLYPRYP2G,toulix,Elder,0,8,0,1400,Toulix,963332470810509312,0.833
34,#JU09V9PR,Tominus,Elder,0,8,0,1400,Tominus,695707388816130098,1.0
35,#P8PJQGPC,poppX,Member,0,8,0,1350,epona59,380858136908791818,0.286
36,#YQUPCLYL0,mattmell,Member,0,8,0,1350,matys,726773777152606249,0.375
37,#PR9QGY8R,〽️WIZAR〽️,Member,0,8,0,1200,Wizar,704371131846623363,0.111
38,#2YY0LVQP8,<c2>Lucas,Member,0,8,0,1200,Lucas,566388948109230102,0.556
39,#V8PVULY,Flagship Killer,Member,0,8,0,1200,Flashgip Killer,769911959696572427,0.867
40,#R9LUPGUGJ,Mélou,Member,0,8,0,1150,Flo,849334333848158269,0.4
41,#9VVVPP8Q,VaaCheneqck,Elder,0,8,0,1100,VaaCheneqck,334401266237308938,1.0
42,#22UGQ9CC0,captain ramos,Member,0,8,0,1100,captain ramos,1137664663509798943,1.0
43,#2PPPUPJYP,chris,Member,0,8,0,950,Chris89,460920082504089621,0.571
44,#2LQG2PU8,Nico,Elder,0,8,0,900,Nico,1114877377139449898,1.0
45,#YG0V0YVPP,~Eloise27~,Elder,0,8,0,800,Eloïse,824576376668422164,0.5
46,#8GJ8JV22,roan,Member,0,6,0,600,roan,1064795551742300220,1.0
47,#8V8PGG0V,Neymar42,Member,0,5,0,1000,Neymar42,1000686193182261318,1.0
48,#80LV299CJ,antike,Member,0,4,0,550,antidote,952547603873140776,0.625
49,#PU0R02J,Kratos,Member,0,0,0,0,matys,726773777152606249,0.5
